"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Source","EID"
"Rastgar-Amini, F.; Aloise, D.; Contardo, C.; Desaulniers, G.","Rastgar-Amini, Farin (59905964900); Aloise, Daniel (12759644500); Contardo, Claudio (26032523300); Desaulniers, Guy (6603948814)","59905964900; 12759644500; 26032523300; 6603948814","Data Mining-Driven Shift Enumeration for Accelerating the Solution of Large-Scale Personnel Scheduling Problems","2025","ACM Transactions on Evolutionary Learning and Optimization","0","10.1145/3709013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024751136&doi=10.1145%2F3709013&partnerID=40&md5=ae85a109cfe93597e977694d11ca7d3a","This study addresses large-scale personnel scheduling problems in the service industry by combining mathematical programming with data mining techniques to enhance efficiency. The studied problem aims at efficiently scheduling skilled employees over a one-week planning horizon, minimizing costs while meeting diverse job demands. In service industries, shift planning is intricately tied to customer presence, leading to a multitude of potential shifts and a difficult optimization problem that cannot be easily solved using a commercial mixed-integer programming solver. Nevertheless, these problems are categorized as recurrent problems, where distinct instances share common characteristics and solution structures that differ only in a few parameters over time. We propose to use a data mining technique, namely, the k-nearest neighbors algorithm, to expedite the solution process while upholding solution quality. We suggest using schedules of past solutions to reduce the problem size. Thus, for an upcoming instance, we identify similar historical instances and streamline the enumeration of shifts to align with the comparable historical instances’ schedules. This approach allows us to solve the problem using a commercial solver within a reasonable timeframe while preserving solution quality. Moreover, our methodology offers decision-makers the flexibility to determine the extent to which they wish to scale down the problem. Our experiments conducted on instances generated from real historical data with up to 12 jobs and 252 employees, yield an average removal of up to 85.5% of decision variables. This resulted in an average speedup factor of up to 15.5, with a marginal average cost increase of approximately 1.2%. © 2025 Copyright held by the owner/author(s). Publication rights licensed to ACM.","Heuristic; k-Nearest neighbors; Personnel scheduling","Data mining; Decision making; Job shop scheduling; Mixed-integer linear programming; Nearest neighbor search; Personnel; Problem solving; Service industry; Data-mining techniques; Heuristic; Large-scales; Nearest-neighbour; Personnel scheduling; Personnel scheduling problem; Planning horizons; Service industries; Skilled employees; Solution quality; Integer programming","Article","Scopus","2-s2.0-105024751136"
"Chaker, B.; Ammar, M.H.; Dhouib, D.","Chaker, Bassem (57212138423); Ammar, Mohamed Haykal (44861029000); Dhouib, Diala (35145753800)","57212138423; 44861029000; 35145753800","Multi-objective personnel scheduling problem with multiple qualification and client’s satisfaction: real case","2025","Flexible Services and Manufacturing Journal","1","10.1007/s10696-024-09570-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207255017&doi=10.1007%2Fs10696-024-09570-w&partnerID=40&md5=0d3980f2133f7ccace42bc5fc7ea174a","Efficiently managing human resources scheduling is of great interest for industry decision-makers aiming to maintain a high service level and strategically organize employee work shifts, particularly those engaged in direct client interactions. This paper investigates the multi-skill personnel scheduling problem within the service industry, inspired by the recurring challenges faced by a technical control company in its daily operations. The context involves clients requesting specific services, each comprising interdependent tasks executed by inspectors with varying qualifications over one or more days. The overarching objective, within the context of a technical control company featuring a diverse team of inspectors and geographically dispersed tasks, is to optimize the scheduling of inspectors for a sequence of tasks. This optimization seeks to minimize workload, travels, premiums, and the radiation dose received by inspectors, taking into account the unique qualification requirements associated with each task. This paper presents a goal programming model designed for scheduling inspectors into control shifts. Recognizing the substantial computational effort required for real-world instances of the problem, a Greedy Randomized Adaptive Search Procedure metaheuristic is proposed to derive acceptable solutions. The performance of the proposed metaheuristic is demonstrated through application to real-life problem instances, showcasing its efficacy in addressing the intricacies of the multi-skill personnel scheduling problem in service industries. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Goal programming; GRASP; Inspectors; Personnel scheduling; Real case; Technical control","Goal programming; Human resource management; Job satisfaction; Job shop scheduling; Resource valuation; Service industry; Goal-programming; GRASP; Inspector; Metaheuristic; Multi skills; Personnel scheduling; Personnel scheduling problem; Real case; Service industries; Technical control; Decision making","Article","Scopus","2-s2.0-85207255017"
"Chawalitanont, A.; Bashyal, A.; Wicaksono, H.","Chawalitanont, Akarawint (60175615300); Bashyal, Atit (58904217900); Wicaksono, H. A. (36447071900)","60175615300; 58904217900; 36447071900","Uncertainty-aware power consumption prediction in customized stainless-steel manufacturing: A comparative study of hierarchical Bayesian and deep neural models","2025","Journal of Manufacturing Systems","0","10.1016/j.jmsy.2025.10.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020863011&doi=10.1016%2Fj.jmsy.2025.10.010&partnerID=40&md5=c531edca047e9a78b0dde16be52f3013","Energy-efficient and data-driven decision-making has become a critical priority in modern manufacturing, particularly in customized or make-to-order (MTO) production where product variability causes large fluctuations in power consumption. Existing prediction models in this domain are often deterministic, lacking the ability to quantify uncertainty and capture hierarchical data dependencies, which limits their reliability for operational use. This study addresses this gap by developing a hierarchical Bayesian learning framework for power consumption prediction in customized stainless-steel manufacturing. The objective is to design models that not only achieve high predictive accuracy but also provide calibrated uncertainty estimates to support risk-aware production decisions. Four models, i.e., Hierarchical Bayesian Linear Regression (HBLR), Hierarchical Bayesian Neural Network (HBNN), Fully Connected Neural Network (FCN), and One-Dimensional Convolutional Neural Network (1D-CNN), were implemented and benchmarked using three inference algorithms: No-U-Turn Sampler (NUTS), Automatic Differentiation Variational Inference (ADVI), and Stein Variational Gradient Descent (SVGD). The innovation lies in systematically quantifying uncertainty using coverage probability, sharpness, and calibration error, and in establishing a unified comparison between probabilistic and deterministic models. Results show that the HBLR–NUTS model achieves the best trade-off between accuracy (RMSE = 11.85) and calibration quality (coverage ≈ 0.98), while ADVI offers near-equivalent performance with significantly lower computation time. These uncertainty-aware predictions can be directly integrated into Manufacturing Execution System (MES) and Enterprise Resource Planning (ERP) environments for energy-optimized scheduling and cost-aware planning. The proposed framework provides a scalable, interpretable, and statistically reliable foundation for advancing sustainable, data-driven manufacturing analytics. © 2025 The Authors","Bayesian neural network; Customized manufacturing; Deep learning; Hierarchical Bayesian modeling; Power consumption prediction; Sustainable manufacturing; Uncertainty quantification","Bayesian networks; Calibration; Decision making; Deep learning; Electric power utilization; Forecasting; Inference engines; Neural networks; Optimization; Prediction models; Uncertainty analysis; Bayesian neural networks; Customized manufacturing; Hierarchical bayesian; Hierarchical Bayesian modeling; Power; Power consumption prediction; Sustainable manufacturing; Uncertainty; Uncertainty quantifications; Economic and social effects","Article","Scopus","2-s2.0-105020863011"
"Zhao, Z.; Jiang, M.; Yuan, D.","Zhao, Ze (59234250800); Jiang, Mingyan (55745383300); Yuan, Dongfeng (7201944218)","59234250800; 55745383300; 7201944218","Panoptic migrating birds optimization with GCN-guided population iteration: a feature-guided intelligent optimizer (FGIO) for flexible job shop scheduling","2025","Operational Research","0","10.1007/s12351-025-00977-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017137523&doi=10.1007%2Fs12351-025-00977-3&partnerID=40&md5=ed8cb746ce32538cacb4ed0a35126dfa","The Flexible job shop scheduling problem (FJSP) is a well-known challenge in operations research, involving the allocation of jobs to machines while minimizing makespan. Traditional priority-based scheduling rules (PDRs) often suffer from limitations like deadlock, especially in dynamic environments. Deep reinforcement learning (DRL) has shown promise in overcoming some of these challenges, but it requires complex large-scale graph structures that lead to slow convergence and limited exploration of the solution space. To address these issues, this paper proposes a novel approach that integrates multi-graph learning with iterative optimization, called the Feature-Guided intelligent optimizer (FGIO) for FJSP. In our approach, we propose a Multi-Graph feature aggregation-oriented (MG-FAO) structure that reduces node density and enhances the sensitivity of the disjunctive graph to critical paths, efficiently capturing both explicit constraints and implicit topological relationships. To accelerate the optimization rate, we integrate the node information extracted from the MG-FAO structure into the intelligent optimization strategy of the Panoptic migrating birds optimization (PMBO) algorithm through an encoding-decoding operation, ensuring dynamic adaptation to evolving scheduling constraints and providing intelligent guidance for decision-making within the PMBO algorithm. This unprecedented bidirectional cybernetic coupling mechanism allows for better exploration and exploitation of the solution space. Extensive experiments demonstrate that the FGIO significantly outperforms existing heuristic, meta-heuristic, and DRL-based methods, even when applied to new, unseen datasets. Moreover, we introduce the concept of the ideal makespan as a theoretical upper bound, providing a more rigorous evaluation benchmark for FJSP instances. Our results highlight the power of integrating multi-graph learning with swarm intelligence, offering a promising solution to one of the most challenging optimization problems in modern manufacturing and operations management. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.","Flexible job-shop scheduling; Graph convolutional networks; Graph learning; Intelligent optimizer; Metaheuristic algorithm","","Article","Scopus","2-s2.0-105017137523"
"Zhang, Z.-Q.; Huang, T.; Qian, B.; Hu, R.","Zhang, Ziqi (57203273373); Huang, Tong (60115574600); Qian, Bin (56383438700); Hu, Rong (55014288900)","57203273373; 60115574600; 56383438700; 55014288900","MAMHSAN: A multi-agent deep reinforcement learning framework based on multi-head self-attention network with heterogeneous graph embedding for flexible job shop scheduling","2025","Computers and Industrial Engineering","2","10.1016/j.cie.2025.111466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017119406&doi=10.1016%2Fj.cie.2025.111466&partnerID=40&md5=9a31ea29d05b9acecf30a7cc17c33ed5","Industrial intelligence serves as a crucial role in advancing smart manufacturing, with flexible manufacturing systems (FMS) emerging as a predominant production paradigm. This article introduces a novel multi-agent deep reinforcement learning framework to tackle the flexible job shop scheduling problem (FJSP). To overcome the limitations in existing Markov decision process (MDP)-based models for FJSPs, we introduce a novel multi-dimensional action and reward MDP (MD-MDP) formulation. Building upon this foundation, we develop an innovative multi-agent reinforcement learning framework (MAMHSAN) that integrates multi-head self-attention network (MHSAN) with the heterogeneous graph embedding used to solve FJSPs. In MAMHSAN, agents independently make decisions in multidimensional actions, tackling challenges related to machine selection and operation sequencing. The integration of the MHSAN with the heterogeneous graph representation significantly improves feature extraction efficacy and decision-making efficiency by capturing critical correlations among operations and machines. Furthermore, a multi-agent proximal policy optimization (MA-PPO) algorithm is proposed for trial-and-error training and feedback optimizing parameters of MAMHSAN, further enhancing collaborative decision-making capabilities for agents. Extensive experiments and comprehensive comparisons demonstrate MAMHSAN's effectiveness and computational efficiency, with statistical analyses demonstrating the efficacy of each critical component of our method and the significant superiority of the proposed MAMHSAN over state-of-the-art algorithms for solving FJSPs. © 2025 Elsevier Ltd","Deep reinforcement learning; Flexible job shop scheduling; Heterogeneous graph; Multi-agent reinforcement learning; Multi-head self-attention network","Behavioral research; Computational efficiency; Decision making; Deep learning; Deep reinforcement learning; Distributed computer systems; Flexible manufacturing systems; Graphic methods; Intelligent agents; Markov processes; Multi agent systems; Reinforcement learning; Smart manufacturing; Flexible job-shop scheduling; Graph embeddings; Heterogeneous graph; Learning frameworks; Markov Decision Processes; Multi agent; Multi-agent reinforcement learning; Multi-head self-attention network; Reinforcement learnings; Job shop scheduling","Article","Scopus","2-s2.0-105017119406"
"Xiao, Q.; Wang, K.; Ma, C.; Chen, Y.","Xiao, Qinge (57094535400); Wang, Kai (60100404300); Ma, Chi (55242838700); Chen, Ye (60100404400)","57094535400; 60100404300; 55242838700; 60100404400","Material delivery optimization for make-to-order reconfigurable job shops using an improved chaotic multi-verse algorithm","2025","Swarm and Evolutionary Computation","4","10.1016/j.swevo.2025.102167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016110247&doi=10.1016%2Fj.swevo.2025.102167&partnerID=40&md5=3eb3bafcd285443b6170acb4c9ed2479","The increasing demand for product customization has highlighted the importance of make-to-order (MTO) material delivery. Although manufacturers have deployed intelligent reconfigurable job shops equipped with flexible workstations and automated guided vehicles (AGVs), challenges remain due to inefficient material scheduling, delayed deliveries, and the complexity arising from diverse material types. This study proposes an active delivery strategy based on a workshop material supermarket, in which both AGV path planning and workstation layout are jointly optimized in response to dynamically changing orders. A multi-objective delivery path model is formulated to support demand splitting while minimizing material delivery costs and maximizing timeliness satisfaction. The model incorporates constraints related to AGV capacity, path feasibility, and demand alignment. To address the nonlinearity and complexity of the problem, an improved chaotic multi-verse optimizer (ICMVO) is proposed. The algorithm employs chaotic encoding to enhance population diversity and mitigate premature convergence. It further integrates gravitational and collision operators to improve global and local search capabilities and adopts adaptive orbital dynamics control to balance exploration and exploitation. A dual-population iterative strategy is employed to enable joint decision-making on workstation coordinates, path direction, and vehicle assignment. Through comprehensive comparisons with state-of-the-art meta-heuristics, the superiority of the ICMVO algorithm and the effectiveness of its components are demonstrated. Moreover, the proposed material delivery optimization method is implemented in a cloud–edge–terminal system and validated in practical MTO reconfigurable job shops through improvements in productivity and cost efficiency. © 2025 Elsevier B.V.","AGV path planning; Make-to-order delivery; Multi-verse optimization; Reconfigurable job shop; Workstation layout","Adaptive control systems; Automatic guided vehicles; Decision making; Distributed computer systems; Iterative methods; Job shop scheduling; Automated guided vehicle path planning; Automated guided vehicles; Job-shop; Make to order; Make-to-order delivery; Multi-verse optimization; Optimisations; Reconfigurable; Reconfigurable job shop; Vehicle path planning; Workstation layout; Motion planning","Article","Scopus","2-s2.0-105016110247"
"Hu, Y.; Zhang, Z.; Chen, J.; Tang, D.; Cai, Q.","Hu, Yiwen (58677375000); Zhang, Zequn (57192645850); Chen, Jie (57223123940); Tang, Dunbing (7401986837); Cai, Qixiang (55836376700)","58677375000; 57192645850; 57223123940; 7401986837; 55836376700","Graph-based deep reinforcement learning for dynamic scheduling of flexible job-shop considering worker fatigue and multi-skill factors","2025","Applied Soft Computing","3","10.1016/j.asoc.2025.113712","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012825806&doi=10.1016%2Fj.asoc.2025.113712&partnerID=40&md5=7ef467f25c350bb9b5b4a3050d42e91c","In recent years, the dynamic scheduling problem of flexible job shops (DFJSP) has garnered significant attention. However, most DFJSP studies focus solely on machine constraints, often overlooking the crucial factor of worker constraints. As an essential resource within the production process, the efficient utilization of workers can substantially enhance production efficiency. Consequently, the scheduling problem in dual-resource constrained (DRC) production systems, where operation times fluctuate according to worker skill levels and fatigue, is investigated. Considering new job arrivals as dynamic events, this study comprehensively integrates worker skill and fatigue factors, with the goal of minimizing total cost and makespan by developing a dual-resource constrained dynamic flexible job-shop scheduling (DRC-DFJSP) optimization model. To enable real-time model resolution in dynamic environments, an end-to-end deep reinforcement learning (DRL) scheduling method is introduced. The decision-making process is formulated as a Markov decision process (MDP) and guided by a reward mechanism tailored to optimization objectives. An enhanced proximal policy optimization (PPO) algorithm, combined with an adaptive clipping mechanism and a prioritized experience replay buffer, is applied to handle operation ordering, machine assignment, and worker allocation within the DRC-DFJSP framework. To further enhance decision-making capabilities, an attention-based graph neural network feature extraction method is incorporated to capture the intricate connections between operations, machines, and workers, resulting in a more precise characterization of the workshop state. Numerical experiments and case studies demonstrate that the proposed scheduling method surpasses existing strategies in dynamic environments that account for worker skill and fatigue levels. © 2025 Elsevier B.V.","Deep reinforcement learning; Dual-resource constrained; Dynamic scheduling; Graph neural network; Worker fatigue","Behavioral research; Constrained optimization; Decision making; Fatigue of materials; Markov processes; Constrained dynamics; Dual resource constrained; Dynamic scheduling; Dynamic scheduling problems; Flexible job shops; Graph neural networks; Reinforcement learnings; Skill levels; Worker fatigue; Workers'; Job shop scheduling","Article","Scopus","2-s2.0-105012825806"
"Zhang, B.; Sang, H.; Meng, L.; Jiang, X.; Lu, C.","Zhang, Biao (56303891700); Sang, Hongyan (35220409500); Meng, Leilei (57192211382); Jiang, Xuchu (56433857900); Lu, Chao (55733538100)","56303891700; 35220409500; 57192211382; 56433857900; 55733538100","Knowledge- and data-driven hybrid method for lot streaming scheduling in hybrid flowshop with dynamic order arrivals","2025","Computers and Operations Research","4","10.1016/j.cor.2025.107244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012751460&doi=10.1016%2Fj.cor.2025.107244&partnerID=40&md5=0f7d8f760bee00a168807521eb64334d","As the demand for personalized products continues to grow, multi-variety, small-batch production has become increasingly prevalent. Effective lot streaming is essential for improving both production efficiency and flexibility. However, the dynamic nature of real-world production environments, marked by random order arrivals, presents significant challenges for dynamic lot streaming scheduling that requires quick decision-making. To tackle these issues and minimize delivery delays, we propose a knowledge- and data-driven hybrid method for the hybrid flowshop lot streaming scheduling problem with dynamic order arrivals (HFLSSP_DOA). The knowledge-based component involves in formulating the problem as a dynamic heterogeneous graph with variable edge length. Inspired by solving the problem through graph updates, a configurable and constructive ensemble solving framework (CCESF) is developed. This framework incorporates three problem-specific strategies: a greedy based lot split strategy, a position insertion based strategy, and a critical sublot based strategy, along with two configurable strategies: operation selection strategy and machine assignment strategy. The data-driven component focuses on collecting real-time shop state from the environment. Utilizing this data, the double deep Q-network (DDQN) is incorporated into the CCESF to select the most suitable rules for the two configurable strategies. During DDQN training, responses from lot operations are integrated into the DDQN reward function. Comparative simulations against metaheuristics and heuristics on benchmark instances show that our hybrid method significantly improves solution accuracy while notably reducing time consumption. In addition, a real-world case study and comparisons with a mixed integer linear programming model further validate the effectiveness and practical advantages of the hybrid method. © 2025 Elsevier Ltd","Constructive heuristic; Dynamic lots; Hybrid flowshop scheduling problem; Lot streaming; Reinforcement learning","Combinatorial optimization; Decision making; Heuristic methods; Integer programming; Knowledge based systems; Mixed-integer linear programming; Problem solving; Constructive heuristic; Data driven; Dynamic lot; Flow shop scheduling problem; Flowshop scheduling problems; Hybrid flow shop scheduling; Hybrid flowshop scheduling problem; Hybrid method; Lot-streaming; Reinforcement learnings; Benchmarking","Article","Scopus","2-s2.0-105012751460"
"Wilouwou, E.R.; Khannoussi, A.; Olteanu, A.-L.; Sevaux, M.","Wilouwou, Essognim (59231027400); Khannoussi, Arwa (57201944304); Olteanu, Alexandru Liviu (36133464100); Sevaux, Marc (6507301480)","59231027400; 57201944304; 36133464100; 6507301480","Flexible job shop rescheduling using user preferences","2025","Computers and Operations Research","0","10.1016/j.cor.2025.107213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011831288&doi=10.1016%2Fj.cor.2025.107213&partnerID=40&md5=3503376f1332128df0c54f2b4d1f0bbf","We consider solving the flexible job shop scheduling problem, where new jobs arrive and must be inserted into the production line through rescheduling. The insertion of new jobs can cause instability in the workshop, which may lead to additional costs, operator fatigue, increased risk of errors, and customer dissatisfaction. Several metrics have been used to measure instability. These metrics can be conflicting, and their choice depends on the user. In this paper, we conduct an analysis considering the DM's preferences regarding stability criteria, and assume that he expresses his preferences in the form of judgments (e.g. very good, good, average, or bad). Our formulation of stability criteria allows the DMs to interpret the solutions. The solutions potentially accepted by the DM need to excel in the efficiency criterion while achieving at least good quality on the stability criteria. We aggregate the decision-maker's preferences on stability criteria using a sorting preference model called MRSort. We propose two approaches for integrating the DM's preferences into the optimization process: an a priori approach and an interactive approach. We show that with the a priori approach, we are able to find solutions of at least good quality on 96% of small instances, 93% of medium instances, and 59% of large instances, but this can lead to losses in efficiency. With the interactive approach, we obtain solutions of at least good category in about 59% of instances for each size, but it requires multiple interactions if one aims to achieve solutions of at least good quality. This highlights the conflicting nature between efficiency and stability. The optimization is performed using a Variable Neighborhood Search with three types of neighborhood structures for local search. © 2025 Elsevier Ltd","Flexible job shop; Multicriteria decision aid; Preference models; Rescheduling; Variable neighborhood search","Decision making; Decision support systems; Flexible job shops; Interactive approach; Multi-criteria decision aidss; Multicriteria decision aid; Optimisations; Preference models; Rescheduling; Stability criterions; User's preferences; Variable neighborhood search; Job shop scheduling; Stability criteria","Article","Scopus","2-s2.0-105011831288"
"Li, Y.; Zhao, Y.","Li, Yingli (59998315300); Zhao, Ying (59998606700)","59998315300; 59998606700","A group decision making scheduling method for flexible job shop integrating blockchain and rule mining","2025","Engineering Applications of Artificial Intelligence","0","10.1016/j.engappai.2025.111783","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010703256&doi=10.1016%2Fj.engappai.2025.111783&partnerID=40&md5=b773890e162dd4beb71279ea3f252d68","The future workshop will be an intelligent one based on the Cyber-Physical System paradigm, where each device functions as an agent. Each agent will possess independent data perception and reasoning capabilities, enabling it to operate autonomously and freely join or leave the agent network. Production scheduling will be the result of multi-agent collective decision-making. Traditional centralized scheduling methods are no longer applicable to such workshops, and existing distributed scheduling approaches remain incomplete. Specifically, current distributed scheduling methods still exhibit traces of centralized scheduling and have not fully realized decentralized scheduling in a strict sense. To address this deficiency, we propose a multi-objective flexible job shop distributed scheduling method. In this method, we improve the neighborhood search algorithm by generating a high-quality initial solution, selecting effective critical operation blocks, and using rule extraction to search for the optimal solution. To achieve complete decentralization of scheduling, blockchain is introduced and redesigned for distributed processing of data. Some numerical experiments, based on well-known benchmark instances, are carried out. The results verify the feasibility and competitiveness of the scheduling method. The solution of this problem has important academic significance and engineering value for intelligent factory design. © 2025 Elsevier Ltd","Flexible job shop scheduling; Group decision making; Intelligent factory; Multi-objective optimization","Autonomous agents; Benchmarking; Decision making; Embedded systems; Intelligent agents; Job shop scheduling; Machine design; Multi agent systems; Production control; Block-chain; Centralized scheduling; Distributed scheduling; Flexible job shops; Flexible job-shop scheduling; Group Decision Making; Intelligent factory; Multi-objectives optimization; Rule mining; Scheduling methods; Multiobjective optimization","Article","Scopus","2-s2.0-105010703256"
